experiment,param,param_name,actual_corr,model,PEHE,ATE_Bias
skewness,10.0,skewness,0.8933755887759416,Naive ATE,0.34123078537962015,0.012958006778095221
skewness,10.0,skewness,0.9970342441676003,T-Learner (Linear),0.14516633609582794,0.06604589197039212
skewness,10.0,skewness,0.9970342441676003,S-Learner (Linear),0.33109748631584085,0.06639187467345664
skewness,10.0,skewness,0.9970342441676003,Naive ATE,0.33920737888151115,0.09921684063531044
skewness,10.0,skewness,0.9389408907646324,T-Learner (Linear),0.20386205187886228,0.009353691062433556
skewness,10.0,skewness,0.9389408907646324,S-Learner (Linear),0.3305899936673865,0.010234546410337497
skewness,10.0,skewness,0.9389408907646324,Naive ATE,0.33196985041660454,0.031921522721284346
skewness,10.0,skewness,0.9854340186188718,T-Learner (Linear),0.14718236367895005,0.005266405204868874
skewness,10.0,skewness,0.9854340186188718,S-Learner (Linear),0.352007885222166,0.005115589006464805
skewness,10.0,skewness,0.9854340186188718,Naive ATE,0.3520271139099649,0.006301342720476555
skewness,10.0,skewness,0.9672586638857364,T-Learner (Linear),0.14847451465307002,0.020425775093496523
skewness,10.0,skewness,0.9672586638857364,S-Learner (Linear),0.3370278007016374,0.02026403309406244
skewness,10.0,skewness,0.9672586638857364,Naive ATE,0.3390363123271055,0.042053699811280154
skewness,10.0,skewness,0.9316861019300455,T-Learner (Linear),0.26761767177349305,0.08646135468182659
skewness,10.0,skewness,0.9316861019300455,S-Learner (Linear),0.35404413044485394,0.08881610097565085
skewness,10.0,skewness,0.9316861019300455,Naive ATE,0.3430146951734223,0.014146893474543565
skewness,10.0,skewness,0.9298491669112099,T-Learner (Linear),0.18072985322754598,0.04620409932944358
skewness,10.0,skewness,0.9298491669112099,S-Learner (Linear),0.3368790694342875,0.04728052285594253
skewness,10.0,skewness,0.9298491669112099,Naive ATE,0.3335957107705962,0.005834266291408818
skewness,10.0,skewness,0.9382170232795579,T-Learner (Linear),0.16907681113285514,0.015778887840268263
skewness,10.0,skewness,0.9382170232795579,S-Learner (Linear),0.3312848832506852,0.016484849100237176
skewness,10.0,skewness,0.9382170232795579,Naive ATE,0.3314596101079228,0.019686277259391982
skewness,10.0,skewness,0.9417558880097466,T-Learner (Linear),0.16110948661608077,0.06710603885063982
skewness,10.0,skewness,0.9417558880097466,S-Learner (Linear),0.35280893840754146,0.06709784801919272
skewness,10.0,skewness,0.9417558880097466,Naive ATE,0.34662102736793954,0.01319510523475298
signal_strength,0.01,signal,0.5524057465238488,T-Learner (Linear),0.19897365426837707,0.05682123261603301
signal_strength,0.01,signal,0.5524057465238488,S-Learner (Linear),0.5590634950715145,0.058244455644683064
signal_strength,0.01,signal,0.5524057465238488,Naive ATE,0.5587259540023586,0.05491007892558442
signal_strength,0.01,signal,0.5664531115481243,T-Learner (Linear),0.26069828895787717,0.008319860941670471
signal_strength,0.01,signal,0.5664531115481243,S-Learner (Linear),0.5542858292356907,0.012213511812399219
signal_strength,0.01,signal,0.5664531115481243,Naive ATE,0.55746899806475,0.06072950833499761
signal_strength,0.01,signal,0.5970542129098462,T-Learner (Linear),0.17522474455973003,0.03570411170305285
signal_strength,0.01,signal,0.5970542129098462,S-Learner (Linear),0.5331126137614678,0.0342951360673721
signal_strength,0.01,signal,0.5970542129098462,Naive ATE,0.5370968111746429,0.07375691140676677
signal_strength,0.01,signal,0.579518500298276,T-Learner (Linear),0.1992865703914546,0.013173005347717936
signal_strength,0.01,signal,0.579518500298276,S-Learner (Linear),0.5491677067544147,0.014442348397365135
signal_strength,0.01,signal,0.579518500298276,Naive ATE,0.5504721294681743,0.04053364783182528
signal_strength,0.01,signal,0.5842989866845634,T-Learner (Linear),0.1704695850449912,0.11100038037864404
signal_strength,0.01,signal,0.5842989866845634,S-Learner (Linear),0.5919158020454613,0.11054701259451667
signal_strength,0.01,signal,0.5842989866845634,Naive ATE,0.6010086482615142,0.15188061287597932
signal_strength,0.01,signal,0.5548964391899699,T-Learner (Linear),0.18128375817175632,0.0345099535660672
signal_strength,0.01,signal,0.5548964391899699,S-Learner (Linear),0.5562561017579308,0.036755008907109796
signal_strength,0.01,signal,0.5548964391899699,Naive ATE,0.5551123312128146,0.008931976341092041
signal_strength,0.01,signal,0.5815368936199763,T-Learner (Linear),0.1529587355140079,0.06245992620613974
signal_strength,0.01,signal,0.5815368936199763,S-Learner (Linear),0.577186221910892,0.05907001209164117
signal_strength,0.01,signal,0.5815368936199763,Naive ATE,0.5750875250540607,0.03272602996915468
signal_strength,0.01,signal,0.5698161647803384,T-Learner (Linear),0.16372678492091702,0.023232536692300663
signal_strength,0.01,signal,0.5698161647803384,S-Learner (Linear),0.5520200822816823,0.02175115602530429
signal_strength,0.01,signal,0.5698161647803384,Naive ATE,0.5525797593345834,0.03303531402042271
signal_strength,0.01,signal,0.5616372704424637,T-Learner (Linear),0.2767751530935565,0.05781497339367017
signal_strength,0.01,signal,0.5616372704424637,S-Learner (Linear),0.5360079005599683,0.05614406353888683
signal_strength,0.01,signal,0.5616372704424637,Naive ATE,0.5337860766486705,0.027843527648880574
signal_strength,0.01,signal,0.5666429189364771,T-Learner (Linear),0.15033127118743278,0.02540203561940105
signal_strength,0.01,signal,0.5666429189364771,S-Learner (Linear),0.5351263412893099,0.025831989353245925
signal_strength,0.01,signal,0.5666429189364771,Naive ATE,0.5376106714246291,0.057726290041053174
signal_strength,0.1,signal,0.5691136996126612,T-Learner (Linear),0.17576939823510745,0.033150407003613824
signal_strength,0.1,signal,0.5691136996126612,S-Learner (Linear),0.5649589636349367,0.03322045439641903
signal_strength,0.1,signal,0.5691136996126612,Naive ATE,0.5676468784069136,0.0644045539069739
signal_strength,0.1,signal,0.5613618194935521,T-Learner (Linear),0.21216245976223533,0.031487453574892486
signal_strength,0.1,signal,0.5613618194935521,S-Learner (Linear),0.5674510434384298,0.027299641703839805
signal_strength,0.1,signal,0.5613618194935521,Naive ATE,0.5691178061193505,0.051377631123846246
signal_strength,0.1,signal,0.5769969885292887,T-Learner (Linear),0.20748736378484445,0.09567606745757262
signal_strength,0.1,signal,0.5769969885292887,S-Learner (Linear),0.5565560959401498,0.09610880996746714
signal_strength,0.1,signal,0.5769969885292887,Naive ATE,0.5636587339603807,0.13112354401495088
