dgp,n,model,rep,PEHE,ATE_Bias,status
linear,500,X-Learner (RF),8,0.5342358661836922,0.021589349393890758,success
linear,500,X-Learner (RF),9,0.6206280046560975,0.010677912552675818,success
linear,500,T-Learner (LGBM),0,0.48663739343179724,0.005367616525263387,success
linear,500,T-Learner (LGBM),1,0.369019031890637,0.12352947002700579,success
linear,500,T-Learner (LGBM),2,0.43513382318337374,0.09471236568492324,success
linear,500,T-Learner (LGBM),3,0.37597771234873745,0.11201992864891147,success
linear,500,T-Learner (LGBM),4,0.4479089961428318,0.15972521423867525,success
linear,500,T-Learner (LGBM),5,0.43516195465464014,0.2046531784095275,success
linear,500,T-Learner (LGBM),6,0.4152811770819041,0.07666539524152341,success
linear,500,T-Learner (LGBM),7,0.4641219947822137,0.09202968350207169,success
linear,500,T-Learner (LGBM),8,0.359633347712797,0.026995316312055963,success
linear,500,T-Learner (LGBM),9,0.3434033917380039,0.00591605550651206,success
linear,500,X-Learner (LGBM),0,0.5369955153698651,0.05726547683429199,success
linear,500,X-Learner (LGBM),1,0.5483751014264854,0.023772404829595865,success
linear,500,X-Learner (LGBM),2,0.5460369875943429,0.005097403349037253,success
linear,500,X-Learner (LGBM),3,0.5789707012196812,0.0041068649040490604,success
linear,500,X-Learner (LGBM),4,0.536090484816404,0.012503323681754023,success
linear,500,X-Learner (LGBM),5,0.53012859663261,0.0445123428927431,success
linear,500,X-Learner (LGBM),6,0.5596884860622303,0.03379942544969093,success
linear,500,X-Learner (LGBM),7,0.5708242139966093,0.041593092915853114,success
linear,500,X-Learner (LGBM),8,0.5179207436901357,0.044641989903747355,success
linear,500,X-Learner (LGBM),9,0.5535873843573975,0.02063935959483244,success
linear,1000,Naive ATE,0,0.5551068980986105,0.00448786387601975,success
linear,1000,Naive ATE,1,0.56357400028382,0.05326799889904313,success
linear,1000,Naive ATE,2,0.5748090298684166,0.07356692476825745,success
linear,1000,Naive ATE,3,0.580756402845907,0.08160120287671142,success
linear,1000,Naive ATE,4,0.5350197501275716,0.08706706524017914,success
linear,1000,Naive ATE,5,0.5732050207167273,0.02411625375448522,success
linear,1000,Naive ATE,6,0.5726699800652104,0.12265799580330357,success
linear,1000,Naive ATE,7,0.5430823525831697,0.027886916035179496,success
linear,1000,Naive ATE,8,0.549191207362379,0.022107579001037377,success
linear,1000,Naive ATE,9,0.5852317121810282,0.12027814356062125,success
linear,1000,S-Learner (Linear),0,0.5601722349097136,0.04425533736454804,success
linear,1000,S-Learner (Linear),1,0.5796171890466166,0.09206393036851931,success
linear,1000,S-Learner (Linear),2,0.5567863855880266,0.06408955731138227,success
linear,1000,S-Learner (Linear),3,0.5703248971587269,0.06305333236435058,success
linear,1000,S-Learner (Linear),4,0.5512224752980939,0.047154630988328484,success
linear,1000,S-Learner (Linear),5,0.5678690837538599,0.12101369631873873,success
linear,1000,S-Learner (Linear),6,0.5622652377872653,0.03842543882822093,success
linear,1000,S-Learner (Linear),7,0.5611588151295793,0.06262986357047498,success
linear,1000,S-Learner (Linear),8,0.5641843246664723,0.06542825040166225,success
linear,1000,S-Learner (Linear),9,0.5774769879216572,0.09632704226780485,success
linear,1000,T-Learner (Linear),0,0.19180452359202924,0.02532955206424226,success
linear,1000,T-Learner (Linear),1,0.21196454730633416,0.06035842296187858,success
linear,1000,T-Learner (Linear),2,0.2582556556759672,0.14276305008191004,success
linear,1000,T-Learner (Linear),3,0.1901663151804629,0.011928931447100003,success
linear,1000,T-Learner (Linear),4,0.18470164135343364,0.010202023508505603,success
linear,1000,T-Learner (Linear),5,0.23797904890179572,0.0263923136742139,success
linear,1000,T-Learner (Linear),6,0.20958289097507785,0.012485678360257957,success
linear,1000,T-Learner (Linear),7,0.13968590612620765,0.03355957584462986,success
linear,1000,T-Learner (Linear),8,0.22392400955326422,0.03770680443728759,success
linear,1000,T-Learner (Linear),9,0.1936391057230392,0.0006945732623754759,success
linear,1000,X-Learner (Linear),0,0.5659431377910913,0.006433718425050444,success
linear,1000,X-Learner (Linear),1,0.5634347698063648,0.023234277280213197,success
linear,1000,X-Learner (Linear),2,0.5561981925573866,0.0021224492975632013,success
linear,1000,X-Learner (Linear),3,0.5739896793044118,0.0004899197145900461,success
linear,1000,X-Learner (Linear),4,0.5542787505304697,0.022731275628192493,success
linear,1000,X-Learner (Linear),5,0.5594784592614908,0.009073127706364177,success
linear,1000,X-Learner (Linear),6,0.5550572229585428,0.005856787571815108,success
linear,1000,X-Learner (Linear),7,0.5635474128839317,0.0011729920684507976,success
linear,1000,X-Learner (Linear),8,0.5256356450879491,0.00808157624379677,success
linear,1000,X-Learner (Linear),9,0.5391866766399059,0.053335868967916505,success
linear,1000,T-Learner (RF),0,0.37809615202855895,0.035109585661514384,success
linear,1000,T-Learner (RF),1,0.28886256742452115,0.057220850717811876,success
linear,1000,T-Learner (RF),2,0.2542226608776842,0.005681477284695101,success
linear,1000,T-Learner (RF),3,0.3171248210668351,0.07220528659824967,success
linear,1000,T-Learner (RF),4,0.3227459489123546,0.002077457957190278,success
linear,1000,T-Learner (RF),5,0.37467007771541017,0.015780157120066626,success
linear,1000,T-Learner (RF),6,0.4289288308346402,0.13983669056724457,success
linear,1000,T-Learner (RF),7,0.3086752129488014,0.00031351845917468313,success
linear,1000,T-Learner (RF),8,0.3541060671527931,0.04258374531376577,success
linear,1000,T-Learner (RF),9,0.2919709127294424,0.06745538623400976,success
linear,1000,X-Learner (RF),0,0.5673583435697561,0.04110741075520832,success
linear,1000,X-Learner (RF),1,0.5671729490213813,0.022895712249017902,success
linear,1000,X-Learner (RF),2,0.5875372264446423,0.003888120468982506,success
linear,1000,X-Learner (RF),3,0.5743223977987315,0.0047705469683121116,success
linear,1000,X-Learner (RF),4,0.5391917674231851,0.014110673910463637,success
linear,1000,X-Learner (RF),5,0.5591941243376143,0.0016550118322640542,success
linear,1000,X-Learner (RF),6,0.5891846619515132,0.026043931698411453,success
linear,1000,X-Learner (RF),7,0.5834697235416525,0.004511029694738765,success
linear,1000,X-Learner (RF),8,0.5696508288511855,0.009183007317517405,success
linear,1000,X-Learner (RF),9,0.5499803807560127,0.023744593955501277,success
linear,1000,T-Learner (LGBM),0,0.4228994477542322,0.1406843686633247,success
linear,1000,T-Learner (LGBM),1,0.326065408158316,0.0017088671996996867,success
linear,1000,T-Learner (LGBM),2,0.3556274750025379,0.024155511850774233,success
linear,1000,T-Learner (LGBM),3,0.3310959397703008,0.03466212557071645,success
linear,1000,T-Learner (LGBM),4,0.3608401106264353,0.0276134890134401,success
linear,1000,T-Learner (LGBM),5,0.3306521601599796,0.028511409494738665,success
linear,1000,T-Learner (LGBM),6,0.3225432723109521,0.03449394489938381,success
linear,1000,T-Learner (LGBM),7,0.2822451035914218,0.03007182413384545,success
linear,1000,T-Learner (LGBM),8,0.3560124465791005,0.0580401519510808,success
linear,1000,T-Learner (LGBM),9,0.39699473368086025,0.08061653875953824,success
linear,1000,X-Learner (LGBM),0,0.5344029842319568,0.015470746394790751,success
linear,1000,X-Learner (LGBM),1,0.5232499908002088,0.014052802908921514,success
linear,1000,X-Learner (LGBM),2,0.5522711072824561,0.03653410055024926,success
linear,1000,X-Learner (LGBM),3,0.5708139918334237,5.6819312602061044e-05,success
linear,1000,X-Learner (LGBM),4,0.5290754132016904,0.016010420474979102,success
linear,1000,X-Learner (LGBM),5,0.5184369364909439,0.005398340986322894,success
linear,1000,X-Learner (LGBM),6,0.5238874331983381,0.020885779617166977,success
linear,1000,X-Learner (LGBM),7,0.5383666963990443,0.029313939967747497,success
linear,1000,X-Learner (LGBM),8,0.5205330340238639,0.024561173258541825,success
linear,1000,X-Learner (LGBM),9,0.5441209484609048,0.004303781946147601,success
linear,5000,Naive ATE,0,0.5564155994516359,0.035001112322361416,success
linear,5000,Naive ATE,1,0.5687242934379467,0.02090377390712686,success
linear,5000,Naive ATE,2,0.5585416000665919,0.050410112721894426,success
linear,5000,Naive ATE,3,0.5631684413418871,0.017883329580211344,success
linear,5000,Naive ATE,4,0.5598745723106034,0.03595889516914981,success
linear,5000,Naive ATE,5,0.5591697298748407,0.02716658598427135,success
linear,5000,Naive ATE,6,0.5583106185908212,0.02886740884653952,success
linear,5000,Naive ATE,7,0.562021551707141,0.02073287891271173,success
linear,5000,Naive ATE,8,0.5580886805994739,0.015690269391104864,success
linear,5000,Naive ATE,9,0.5547265233237103,0.049861299226938965,success
linear,5000,S-Learner (Linear),0,0.5654344314579501,0.013223314207469285,success
linear,5000,S-Learner (Linear),1,0.5523344806019125,0.026260226472666286,success
linear,5000,S-Learner (Linear),2,0.5557380285535579,0.0033852007869382542,success
linear,5000,S-Learner (Linear),3,0.5539928701552276,0.009559058625781635,success
linear,5000,S-Learner (Linear),4,0.55432194527956,0.016355166163091336,success
linear,5000,S-Learner (Linear),5,0.5622400602642481,0.013964953954853532,success
linear,5000,S-Learner (Linear),6,0.5559452969532688,0.06232427389640131,success
linear,5000,S-Learner (Linear),7,0.5632418748359269,0.003820157495120567,success
linear,5000,S-Learner (Linear),8,0.561619235084439,0.040899487581929655,success
linear,5000,S-Learner (Linear),9,0.5552467712859744,0.025338384053069637,success
linear,5000,T-Learner (Linear),0,0.08251531088174782,0.0015816963377319635,success
linear,5000,T-Learner (Linear),1,0.12310915619680037,0.011379608698475551,success
linear,5000,T-Learner (Linear),2,0.10125420494592603,0.0014873208568503262,success
linear,5000,T-Learner (Linear),3,0.1066788138290936,0.01405741102562605,success
linear,5000,T-Learner (Linear),4,0.07862933941632697,0.00043910565046100664,success
linear,5000,T-Learner (Linear),5,0.08832088604780733,0.004383219111959683,success
linear,5000,T-Learner (Linear),6,0.08937827576560617,0.0037444249189490385,success
linear,5000,T-Learner (Linear),7,0.10837599936627859,0.056672349606071384,success
linear,5000,T-Learner (Linear),8,0.10244948193616137,0.00946749529697662,success
linear,5000,T-Learner (Linear),9,0.06901406363030581,0.003874531974850102,success
linear,5000,X-Learner (Linear),0,0.5574155431195257,0.008710456831795397,success
